project,approach,mae,mmre,pred
datam,deepse,4.7861755160879635,3.1181892928721067,0.3148148148148148
datam,gpt2sp,4.302561157168441,1.8996146556895783,0.36226851851851855
datam,finese,4.627516545813393,1.7388462282661865,0.2638888888888889
datam,seeagent_base,17.053712962962962,11.698226047820548,0.1574074074074074
datam,seeagent_ft,4.250706018518519,1.4912250114168617,0.38310185185185186
mesos,deepse,1.3817071228915663,0.4892929505522088,0.6867469879518072
mesos,gpt2sp,1.5834822381835385,0.6290252633841641,0.5783132530120482
mesos,finese,1.3947303898363228,0.44883628614456306,0.7228915662650602
mesos,seeagent_base,7.397590361445783,2.4629518072289156,0.10843373493975904
mesos,seeagent_ft,1.216867469879518,0.4139558232931726,0.7469879518072289
talend,deepse,4.214524739999999,1.120876185965812,0.5333333333333333
talend,gpt2sp,5.736045583089193,2.231556035351549,0.4
talend,finese,4.659282779693603,0.7553353257260771,0.4
talend,seeagent_base,7.133333333333334,1.3819230769230768,0.4666666666666667
talend,seeagent_ft,5.133333333333334,1.4556410256410257,0.3333333333333333
usergrid,deepse,0.617959675,0.16305707833333333,0.85
usergrid,gpt2sp,0.44715404510498047,0.1196580203374227,0.95
usergrid,finese,1.8256818890571593,0.5411185896396637,0.15
usergrid,seeagent_base,11.3,2.7966666666666664,0.05
usergrid,seeagent_ft,0.35,0.085,1.0
